source,target,type,capacity
BWI,YYZ,Directed,184
LGA,YYZ,Directed,184
PIT,YYZ,Directed,184
CVG,YYZ,Directed,184
YUL,YYZ,Directed,184
LGA,YUL,Directed,184
YHZ,YOW,Directed,184
EWR,YUL,Directed,184
YOW,YHZ,Directed,184
YGP,YQB,Directed,184
YYZ,BOS,Directed,184
YYZ,YUL,Directed,184
IND,YYZ,Directed,184
YYZ,EWR,Directed,184
DCA,YOW,Directed,184
YFC,YUL,Directed,184
YSJ,YUL,Directed,184
HKG,YVR,Directed,309
IAD,YYZ,Directed,184
DTW,YYZ,Directed,184
YHM,YUL,Directed,184
DCA,YOW,Directed,184
YUL,YHM,Directed,184
LHR,YYZ,Directed,309
YYZ,LGA,Directed,184
YVO,YUL,Directed,184
LHR,YOW,Directed,309
YAM,YYZ,Directed,184
YYZ,YYC,Directed,184
YQM,YYZ,Directed,184
YYZ,YVR,Directed,309
YOW,YVR,Directed,184
YOW,YWG,Directed,184
YUL,YYZ,Directed,184
YUL,YVR,Directed,309
STL,YYZ,Directed,184
YYZ,YUL,Directed,184
STL,YYZ,Directed,184
YOW,YYZ,Directed,184
DFW,YYZ,Directed,184
BNA,YYZ,Directed,184
YTZ,YUL,Directed,184
ORD,YYZ,Directed,184
YHZ,YYZ,Directed,184
YXE,YYC,Directed,184
YUL,YWG,Directed,184
YYZ,DCA,Directed,184
YUL,LAX,Directed,184
FRA,YYC,Directed,309
YWG,YYZ,Directed,184
YOW,YYC,Directed,184
YYZ,YOW,Directed,184
YQR,YYC,Directed,184
YXU,YOW,Directed,184
LIM,YYZ,Directed,309
HNL,YVR,Directed,309
YYZ,CUN,Directed,309
YUL,FLL,Directed,309
YYZ,MLB,Directed,309
YUL,HOG,Directed,184
YUL,PVR,Directed,309
MCO,YYZ,Directed,184
YYZ,GND,Directed,184
HAV,YYZ,Directed,184
ORY,ZSA,Directed,309
ORY,PTP,Directed,309
ORY,FDF,Directed,309
CVG,MDT,Directed,184
CAE,SBO,Directed,184
XIY,SYX,Directed,184
XIY,ZUH,Directed,184
SHE,SJW,Directed,184
KWE,XNN,Directed,184
SHE,INC,Directed,184
PEK,IAH,Directed,309
PVG,FRA,Directed,309
PEK,LAX,Directed,309
PEK,EWR,Directed,309
PEK,LHR,Directed,309
